P001	小學	香港仔聖伯多祿天主教小學     ABERDEEN ST PETER'S CATHOLIC PRIMARY SCH     http://www.aspcps.edu.hk	香港石排灣邨	SHEK PAI WAN ESTATE HONG KONG
P002	小學	博愛醫院歷屆總理聯誼會鄭任安夫人千禧小學     AD&FDPOH MRS CHENG YAM ON MILL SCH     http://www.mcyoms.edu.hk	新界屯門掃管笏路１１１號	111 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES
P003	小學	博愛醫院歷屆總理聯誼會梁省德學校     AD&FDPOHL LEUNG SING TAK SCHOOL     http://www.yuenlonglsts.edu.hk	新界元朗朗屏邨第三期屋邨小學	ESTATE PRIMARY SCHOOL LONG PING ESTATE, PHASE III YUEN LONG NEW TERRITORIES
P004	小學	博愛醫院歷屆總理聯誼會鄭任安夫人學校     AD&FDPOHL MRS CHENG YAM ON SCHOOL     http://www.mcyos.edu.hk	新界屯門屯利街３號	3 TUEN LEE STREET TUEN MUN NEW TERRITORIES
P005	小學	愛秩序灣官立小學     ALDRICH BAY GOVERNMENT PRI SCH     http://www.abgps.edu.hk/	香港筲箕灣愛禮街１號	1 OI LAI STREET SHAU KEI WAN HONG KONG
P006	小學	九龍塘宣道小學     ALLIANCE PRIMARY SCHOOL KOWLOON TONG     http://www.apskt.edu.hk	九龍九龍塘蘭開夏道２號地下至２樓部份及３樓至８樓全層	PORTION OF G/F - 2/F & WHOLE FLOOR OF 3/F - 8/F 2 LANCASHIRE ROAD KOWLOON TONG KOWLOON
P007	小學	上水宣道小學     ALLIANCE PRIMARY SCHOOL, SHEUNG SHUI     http://www.apsss.edu.hk	新界粉嶺第１８區和睦路２號	2 WO MUK ROAD, AREA 18 FANLING NEW TERRITORIES
P008	小學	大坑東宣道小學     ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG     http://www.apstht.edu.hk	九龍大坑東棠蔭街十三及廿三號	13 & 23 TONG YAM STREET TAI HANG TUNG KOWLOON
P009	小學	黃埔宣道小學     ALLIANCE PRIMARY SCHOOL,WHAMPOA     http://www.apsw.edu.hk/	九龍紅磡黃埔花園德豐街２１號	21 TAK FUNG STREET WHAMPOA GARDEN HUNG HOM KOWLOON
P010	小學	AMERICAN INTERNATIONAL SCH (PRI BRANCH)     http://www.ais.edu.hk/	九龍窩打老道１３１號地下及１樓	G/F & 1/F 131 WATERLOO ROAD KOWLOON
P011	小學	美國國際學校     AMERICAN INTERNATIONAL SCHOOL     http://www.ais.edu.hk/	九龍九龍塘窩打老道１１７ １１９ １２１ １２３１２５及１２９號	117 119 121 123 125 & 129 WATERLOO ROAD KOWLOON TONG KOWLOON
P012	小學	AMERICAN SCHOOL HONG KONG     http://ashk.edu.hk	新界大埔馬聰路六號（５樓、６樓、天台及體育館除外）	(EXCEPT 5/F., 6/F., R/F. AND GYMNASIUM) 6 MA CHUNG ROAD TAI PO NEW TERRITORIES
P013	小學	安菲爾學校     ANFIELD SCHOOL     http://www.anfield.edu.hk/taiwai/index.php	新界沙田大圍龍柏街１號及３號	NO.1 AND 3 LUNG PAK STREET TAI WAI SHATIN NEW TERRITORIES
P014	小學	愛培學校     AOI PUI SCHOOL   	九龍紅磡差館里１６號地下至４樓	G/F-4/F 16 STATION LANE HUNG HOM KOWLOON
P015	小學	鴨脷洲街坊學校     APLICHAU KAIFONG PRIMARY SCHOOL     http://www.akps.edu.hk	香港鴨脷洲利東邨利東邨道９號	9 LEI TUNG ESTATE ROAD LEI TUNG ESTATE. APLICHAU HONG KONG
P016	小學	亞斯理衛理小學     ASBURY METHODIST PRIMARY SCHOOL     http://www.asbury.edu.hk	新界葵涌茘景邨第二校舍	ESTATE SCHOOL NO.2 LAI KING ESTATE KWAI CHUNG NEW TERRITORIES
P017	小學	基督教神召會梁省德小學     ASSEMBLY OF GOD LEUNG SING TAK PRI SCH     http://www.lsttko.edu.hk	新界將軍澳文曲里２號	2 MAN KUK LANE TSEUNG KWAN O NEW TERRITORIES
P018	小學	神召會馬理信書院     ASSEMBLY OF GOD MORRISON COLLEGE   	九龍慈雲山蒲崗村道９１號２－６樓	2-6/F 91 PO KONG VILLAGE ROAD TSZ WAN SHAN KOWLOON
P019	小學	香港澳洲國際學校     AUSTRALIAN INTERNATIONAL SCH HK     http://www.aishk.edu.hk/	九龍九龍塘羅福道３Ａ號	3A, NORFOLK ROAD KOWLOON TONG KOWLOON
P020	小學	浸信會沙田圍呂明才小學     BAPTIST (STW) LUI MING CHOI PRIM SCH     http://www.bstwlmc.edu.hk	新界沙田圓洲角路８號	8 YUEN CHAU KOK ROAD SHATIN NEW TERRITORIES
P021	小學	浸信會呂明才小學     BAPTIST LUI MING CHOI PRIMARY SCHOOL     http://www.baptist-lmc-primary.edu.hk	新界沙田第一城得榮街２號	STANDARD PRIMARY SCHOOL A 2 TAK WING STREET SHATIN NEW TERRITORIES
P022	小學	浸信會天虹小學     BAPTIST RAINBOW PRIMARY SCHOOL     http://www.rainbow.edu.hk	九龍黃大仙竹園南邨	CHUK YUEN SOUTH ESTATE WONG TAI SIN KOWLOON
P023	小學	BEACON HILL SCHOOL     http://www.beaconhill.edu.hk/	九龍九龍塘義德道２３號	23 EDE ROAD KOWLOON TONG KOWLOON
P024	小學	福德學校     BISHOP FORD MEMORIAL SCHOOL     http://www.bfordms.edu.hk	九龍東頭邨培民街２０號	20 PUI MAN STREET TUNG TAU TSUEN KOWLOON
P025	小學	天主教柏德學校     BISHOP PASCHANG CATHOLIC SCHOOL     http://bpcs.edu.hk	九龍九龍灣宏照道６號	6 WANG CHIU ROAD KOWLOON BAY KOWLOON
P026	小學	華德學校     BISHOP WALSH PRIMARY SCHOOL     http://www.bishopwalsh.edu.hk	九龍黃大仙聯合道１５０號	150 JUNCTION ROAD WONG TAI SIN KOWLOON
P027	小學	般咸道官立小學     BONHAM RD GOVERNMENT PRI SCH     http://www.brgps.edu.hk/	香港般咸道９號Ａ	9A BONHAM ROAD HONG KONG
P028	小學	白普理小學     BRADBURY SCHOOL     http://www.bradbury.edu.hk/	香港司徒拔道４３號Ｃ及４３號Ｂ三樓及延伸通道由司徒拔道４３號Ｃ一樓至４３號Ｂ三樓	EXTENDED CORRIDOR FROM 1/F OF 43C STUBBS ROAD TO 3/F OF 43B STUBBS ROAD AND 43C STUBBS ROAD AND 3/F OF 43B STUBBS ROAD HONG KONG
P029	小學	佛教林炳炎紀念學校（香港佛教聯合會主辦）     BUDD LAM BING YIM MEM SCH (SPSD BY HKBA)    http://www.blbyms.edu.hk	新界荃灣大厦街３３號	33 TAI HA STREET TSUEN WAN NEW TERRITORIES
P030	小學	佛教陳榮根紀念學校     BUDDHIST CHAN WING KAN MEMORIAL SCHOOL     http://www.bcwkms.edu.hk	新界元朗馬田欖口村路２３號	23 LAM HAU TSUEN ROAD MA TIN, YUEN LONG NEW TERRITORIES
P031	小學	佛教慈敬學校     BUDDHIST CHI KING PRIMARY SCHOOL     http://www.bckps.edu.hk	九龍九龍灣啓禮道１２號	12 KAI LAI ROAD KOWLOON BAY KOWLOON
P032	小學	佛教中華康山學校     BUDDHIST CHUNG WAH KORNHILL PRI SCH     http://www.bcwkps.edu.hk	香港鰂魚涌康愉街２號	2 HONG YUE STREET QUARRY BAY HONG KONG
P033	小學	佛教林金殿紀念小學     BUDDHIST LIM KIM TIAN MEMORIAL PRI SCH     http://www.lkt.edu.hk	新界葵涌葵芳邨第五期	PHASE 5 KWAI FONG ESTATE KWAI CHUNG NEW TERRITORIES
